FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
04022020,17,115,calzada,Norte,Sur,06:00:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:05:00,1,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:10:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:15:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:20:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:25:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:30:01,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:35:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:40:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:45:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:50:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,06:55:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:00:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:05:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:10:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:15:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:20:00,1,1,0,1,0,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:25:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:30:00,0,0,0,3,1,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:35:00,1,0,0,1,0,0,0,1,0,
04022020,17,115,calzada,Norte,Sur,07:40:00,0,1,0,2,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:45:00,2,0,0,1,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,07:50:00,1,1,0,3,0,0,0,2,0,
04022020,17,115,calzada,Norte,Sur,07:55:00,0,3,0,1,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:00:00,0,2,1,4,1,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:05:00,1,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:10:00,0,1,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:15:00,1,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:20:00,0,1,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:25:00,0,1,0,0,0,0,0,1,0,
04022020,17,115,calzada,Norte,Sur,08:30:00,1,0,0,0,0,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:35:00,0,0,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:40:00,0,2,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:45:00,0,0,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:50:00,1,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,08:55:00,0,2,0,0,0,0,1,0,0,
04022020,17,115,calzada,Norte,Sur,09:00:00,1,2,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:05:00,0,0,0,1,1,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:10:00,1,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:15:00,1,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:20:00,0,1,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:25:00,1,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:30:00,2,2,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:35:00,0,4,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:40:00,0,2,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:45:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:50:00,0,0,0,0,1,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,09:55:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:00:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:05:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:10:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:15:00,0,1,1,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:20:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:25:00,0,0,0,2,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:30:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:35:00,0,2,0,0,1,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:40:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:45:00,1,1,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:50:00,2,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,10:55:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:00:00,1,2,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:05:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:10:00,0,0,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:15:00,0,1,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:20:00,1,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:25:00,0,0,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:30:00,0,0,0,0,0,1,0,1,0,
04022020,17,115,calzada,Norte,Sur,11:35:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:40:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:45:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:50:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,11:55:00,1,5,0,0,0,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:00:00,0,3,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:05:00,0,3,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:10:00,0,8,0,0,0,1,1,0,0,
04022020,17,115,calzada,Norte,Sur,12:15:00,0,5,0,0,0,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:20:00,0,6,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:25:00,0,2,0,0,0,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:30:00,0,3,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:35:00,0,3,0,0,0,0,1,0,0,
04022020,17,115,calzada,Norte,Sur,12:40:00,0,4,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:45:00,0,6,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,12:50:00,0,2,1,0,0,3,4,0,0,
04022020,17,115,calzada,Norte,Sur,12:55:00,1,5,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:00:00,0,6,0,0,0,0,1,0,0,
04022020,17,115,calzada,Norte,Sur,13:05:00,0,1,0,0,0,3,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:10:00,0,3,0,0,0,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:15:00,0,13,1,0,0,3,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:20:00,0,6,0,0,0,4,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:25:00,1,5,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:30:00,0,2,1,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:35:00,0,2,0,0,0,3,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:40:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:45:00,0,5,1,1,0,0,2,0,0,
04022020,17,115,calzada,Norte,Sur,13:50:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,13:55:00,0,2,0,0,1,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:00:00,0,3,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:05:00,0,3,0,0,1,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:10:00,1,6,0,2,1,4,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:15:00,2,2,0,3,0,1,1,0,0,
04022020,17,115,calzada,Norte,Sur,14:20:00,0,3,0,2,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:25:00,1,7,0,0,1,2,1,0,0,
04022020,17,115,calzada,Norte,Sur,14:30:00,0,6,1,0,1,1,1,1,0,
04022020,17,115,calzada,Norte,Sur,14:35:00,0,2,1,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:40:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:45:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:50:00,0,1,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,14:55:00,0,2,0,0,1,0,0,1,0,
04022020,17,115,calzada,Norte,Sur,15:00:00,1,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:05:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:10:00,1,2,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:15:00,0,1,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:20:00,2,1,0,1,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:25:00,0,1,0,0,0,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:30:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:35:00,0,2,0,0,1,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:40:00,1,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:45:00,0,0,0,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:50:00,0,0,1,0,0,1,0,0,0,
04022020,17,115,calzada,Norte,Sur,15:55:00,1,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:00:00,0,2,1,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:05:00,0,2,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:10:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:15:00,0,0,1,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:20:00,1,0,0,1,1,2,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:25:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:30:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:35:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Norte,Sur,16:40:00,0,0,0,1,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:00:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:05:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:10:00,1,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:15:00,0,1,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:20:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:25:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:30:01,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:35:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:40:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:45:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:50:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,06:55:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,07:00:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,07:05:00,0,0,0,0,0,0,0,0,0,
04022020,17,115,calzada,Sur,Norte,07:10:00,0,4,0,5,1,1,0,3,0,
04022020,17,115,calzada,Sur,Norte,07:15:00,0,14,0,21,2,3,1,4,0,
04022020,17,115,calzada,Sur,Norte,07:20:00,1,26,0,8,3,6,1,4,0,
04022020,17,115,calzada,Sur,Norte,07:25:00,3,15,0,10,2,6,0,8,0,
04022020,17,115,calzada,Sur,Norte,07:30:00,7,18,0,14,0,15,2,4,0,
04022020,17,115,calzada,Sur,Norte,07:35:00,5,20,0,13,3,11,2,3,0,
04022020,17,115,calzada,Sur,Norte,07:40:00,3,15,0,7,0,15,1,3,0,
04022020,17,115,calzada,Sur,Norte,07:45:00,5,22,0,13,2,16,0,7,0,
04022020,17,115,calzada,Sur,Norte,07:50:00,1,15,2,17,1,6,0,7,0,
04022020,17,115,calzada,Sur,Norte,07:55:00,3,22,0,12,1,11,0,4,0,
04022020,17,115,calzada,Sur,Norte,08:00:00,1,11,2,11,1,7,4,5,0,
04022020,17,115,calzada,Sur,Norte,08:05:00,2,18,0,16,0,6,0,2,0,
04022020,17,115,calzada,Sur,Norte,08:10:00,0,9,1,12,0,16,1,1,0,
04022020,17,115,calzada,Sur,Norte,08:15:00,1,17,1,13,1,10,1,1,0,
04022020,17,115,calzada,Sur,Norte,08:20:00,1,24,3,9,2,8,0,2,0,
04022020,17,115,calzada,Sur,Norte,08:25:00,0,20,0,13,0,13,0,1,0,
04022020,17,115,calzada,Sur,Norte,08:30:00,0,22,2,9,3,11,3,2,0,
04022020,17,115,calzada,Sur,Norte,08:35:00,0,29,1,9,1,8,3,0,0,
04022020,17,115,calzada,Sur,Norte,08:40:00,1,22,1,9,3,11,3,2,0,
04022020,17,115,calzada,Sur,Norte,08:45:00,3,23,2,15,1,6,3,0,0,
04022020,17,115,calzada,Sur,Norte,08:50:00,1,22,0,14,2,8,1,0,0,
04022020,17,115,calzada,Sur,Norte,08:55:00,0,21,0,9,5,8,1,0,0,
04022020,17,115,calzada,Sur,Norte,09:00:00,2,28,1,4,2,8,2,0,0,
04022020,17,115,calzada,Sur,Norte,09:05:00,0,27,2,7,1,7,3,1,0,
04022020,17,115,calzada,Sur,Norte,09:10:00,0,34,0,7,2,0,4,0,0,
04022020,17,115,calzada,Sur,Norte,09:15:00,1,23,1,10,0,6,3,0,0,
04022020,17,115,calzada,Sur,Norte,09:20:00,2,29,3,8,1,10,5,0,0,
04022020,17,115,calzada,Sur,Norte,09:25:00,0,26,2,5,0,4,0,0,0,
04022020,17,115,calzada,Sur,Norte,09:30:00,0,35,2,9,2,5,0,0,0,
04022020,17,115,calzada,Sur,Norte,09:35:00,0,19,0,4,0,6,2,0,0,
04022020,17,115,calzada,Sur,Norte,09:40:00,0,34,1,8,0,8,2,1,0,
04022020,17,115,calzada,Sur,Norte,09:45:00,0,33,1,8,0,7,1,0,0,
04022020,17,115,calzada,Sur,Norte,09:50:00,1,29,1,5,0,3,1,0,0,
04022020,17,115,calzada,Sur,Norte,09:55:00,1,28,0,3,1,5,2,0,0,
04022020,17,115,calzada,Sur,Norte,10:00:00,0,31,0,4,1,4,2,0,0,
04022020,17,115,calzada,Sur,Norte,10:05:00,0,28,1,10,1,5,1,0,0,
04022020,17,115,calzada,Sur,Norte,10:10:00,0,34,0,11,1,6,0,0,0,
04022020,17,115,calzada,Sur,Norte,10:15:00,0,22,0,8,1,7,0,1,0,
04022020,17,115,calzada,Sur,Norte,10:20:00,0,23,0,9,1,4,0,0,0,
04022020,17,115,calzada,Sur,Norte,10:25:00,0,17,1,7,1,5,1,0,0,
04022020,17,115,calzada,Sur,Norte,10:30:00,0,21,0,7,3,8,0,0,0,
04022020,17,115,calzada,Sur,Norte,10:35:00,0,21,1,6,1,7,2,1,0,
04022020,17,115,calzada,Sur,Norte,10:40:00,0,35,1,8,0,4,0,0,0,
04022020,17,115,calzada,Sur,Norte,10:45:00,1,22,0,2,2,4,0,0,0,
04022020,17,115,calzada,Sur,Norte,10:50:00,0,22,0,7,0,8,0,0,0,
04022020,17,115,calzada,Sur,Norte,10:55:00,0,26,0,3,0,8,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:00:00,0,23,2,6,0,7,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:05:00,0,17,0,8,1,2,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:10:00,0,26,0,6,0,3,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:15:00,0,18,2,11,0,2,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:20:00,0,17,2,8,0,1,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:25:00,0,28,2,3,0,7,1,0,0,
04022020,17,115,calzada,Sur,Norte,11:30:00,0,12,1,8,0,4,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:35:00,0,18,0,12,0,7,1,0,0,
04022020,17,115,calzada,Sur,Norte,11:40:00,0,28,1,8,0,5,0,0,0,
04022020,17,115,calzada,Sur,Norte,11:45:00,0,29,2,3,0,4,0,0,0,
