FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
04022020,17,115,doble via,Occidente,Oriente,06:00:00,11,80,3,35,16,8,5,4,5,
04022020,17,115,doble via,Occidente,Oriente,06:05:00,5,97,4,59,20,24,2,21,3,
04022020,17,115,doble via,Occidente,Oriente,06:10:00,6,87,6,91,21,20,9,32,1,
04022020,17,115,doble via,Occidente,Oriente,06:15:00,12,70,1,96,21,23,5,37,3,
04022020,17,115,doble via,Occidente,Oriente,06:20:00,6,74,5,91,28,26,9,32,2,
04022020,17,115,doble via,Occidente,Oriente,06:25:00,10,42,6,135,18,13,8,41,3,
04022020,17,115,doble via,Occidente,Oriente,06:30:01,3,51,3,107,19,21,3,29,1,
04022020,17,115,doble via,Occidente,Oriente,06:35:00,0,40,1,114,18,28,6,26,3,
04022020,17,115,doble via,Occidente,Oriente,06:40:00,4,60,3,99,23,20,6,26,4,
04022020,17,115,doble via,Occidente,Oriente,06:45:00,5,45,2,89,15,24,7,23,3,
04022020,17,115,doble via,Occidente,Oriente,06:50:00,6,35,2,92,18,15,4,26,1,
04022020,17,115,doble via,Occidente,Oriente,06:55:00,8,38,0,95,15,11,5,8,1,
04022020,17,115,doble via,Occidente,Oriente,07:00:00,1,43,2,79,26,24,1,3,0,
04022020,17,115,doble via,Occidente,Oriente,07:05:00,5,57,1,80,17,16,1,7,0,
04022020,17,115,doble via,Occidente,Oriente,07:10:00,2,37,2,84,16,13,5,7,4,
04022020,17,115,doble via,Occidente,Oriente,07:15:00,2,31,4,82,19,10,2,4,1,
04022020,17,115,doble via,Occidente,Oriente,07:20:00,3,40,3,48,15,16,6,4,6,
04022020,17,115,doble via,Occidente,Oriente,07:25:00,5,28,2,82,12,12,6,8,0,
04022020,17,115,doble via,Occidente,Oriente,07:30:00,9,45,3,65,30,14,2,13,0,
04022020,17,115,doble via,Occidente,Oriente,07:35:00,3,43,3,65,19,13,5,9,0,
04022020,17,115,doble via,Occidente,Oriente,07:40:00,3,32,2,79,23,22,5,11,3,
04022020,17,115,doble via,Occidente,Oriente,07:45:00,8,45,3,73,21,14,8,12,1,
04022020,17,115,doble via,Occidente,Oriente,07:50:00,3,49,1,47,17,23,7,11,0,
04022020,17,115,doble via,Occidente,Oriente,07:55:00,4,35,6,53,11,22,8,17,2,
04022020,17,115,doble via,Occidente,Oriente,08:00:00,7,38,1,42,15,25,4,6,2,
04022020,17,115,doble via,Occidente,Oriente,08:05:00,3,34,4,51,10,22,3,4,2,
04022020,17,115,doble via,Occidente,Oriente,08:10:00,2,32,5,44,15,27,2,3,5,
04022020,17,115,doble via,Occidente,Oriente,08:15:00,2,53,5,45,12,20,5,5,4,
04022020,17,115,doble via,Occidente,Oriente,08:20:00,3,24,3,42,16,23,3,7,2,
04022020,17,115,doble via,Occidente,Oriente,08:25:00,1,50,6,49,23,31,8,8,1,
04022020,17,115,doble via,Occidente,Oriente,08:30:00,7,69,5,34,8,22,8,6,2,
04022020,17,115,doble via,Occidente,Oriente,08:35:00,3,90,3,51,10,28,8,11,2,
04022020,17,115,doble via,Occidente,Oriente,08:40:00,1,91,3,34,22,22,2,6,3,
04022020,17,115,doble via,Occidente,Oriente,08:45:00,1,62,2,37,18,31,10,9,3,
04022020,17,115,doble via,Occidente,Oriente,08:50:00,3,73,3,39,10,20,6,4,2,
04022020,17,115,doble via,Occidente,Oriente,08:55:00,2,85,2,40,13,21,2,5,1,
04022020,17,115,doble via,Occidente,Oriente,09:00:00,1,53,1,36,16,23,2,4,1,
